Statute:,Crime:,Class:
§ 14-8,Rebellion against the State,F
§ 14-10,Secret political and military organizations,1
§ 14-12,First Offense: Advocating Overthrow,1
§ 14-12,Second Offense: Advocating Overthrow,H
§ 14-12.1,Subversion,H
§ 14-12.4,"Secret Society Handshakes, Disguises Etc",1
§  14-12.5,Permit Secret Society Mtg,1
§ 14-12.7,Wear Mask/Hood on Public Ways,1
§ 14-12.9,Conceal Identity,1
§ 14-12.10,Meetings or Demonstrations with Masks,1
§ 14-12.12,Cross-burning,1
§ 14-12.14,Place Exhibit (ie: nooses) to Intimidate,1
§ 14-12.14,Place Exhibit (ie: nooses) while in Hood or Disguise,1
§ 14-13,Counterfeiting Coins or Uttering Counterfeit Coins,I
§ 14-14,Possess Counterfeiting Tools,I
§ 14-15,Issuing substitutes for money without authority,3
§ 14-16,Receiving or passing unauthorized substitutes for money,3
§ 14-16.6,"Assault on executive, legislative, or court officer.",I
§ 14-16.6,"Assault on executive, legislative, or court officer With Deadly Weapon",F
§ 14-16.6,"Assault on executive, legislative, or court officer causing Serious Bodily Injury",F
§ 14-16.7,"Threats against executive, legislative, or court officers",I
§ 14-17,Murder in the First Degree,A
§ 14-17,Murder in the Second Degree (B1 Malice),B1
§ 14-17,Murder in the Second Degree (B2 Malice),B2
§ 14-18,Voluntary Manslaughter,D
§ 14-18,Involuntary Manslaughter,F
§ 14-18.4,Death by distribution of certain CS,C
§ 14-18.4,Aggravated death by distribution of CS,B2
§ 14-23.3,Voluntary manslaughter of an unborn child,D
§ 14-23.4,Involuntary manslaughter of an unborn child,F
§ 14-23.5,Assault inflicting serious bodily injury on an unborn child,F
§ 14-23.6.,Battery on an unborn child.,A1
§ 14-27.21,First-degree forcible rape.,B1
§ 14-27.22,Second-degree forcible rape,C
§ 14-27.23,Statutory rape of a child by an adult,B1
§ 14-27.24,First-degree statutory rape,B1
§ 14-27.25,Statutory rape of person who is 15 years of age or younger (6+ year age gap),B1
§ 14-27.25,Statutory rape of person who is 15 years of age or younger (4 to 6 year age gap),C
§ 14-27.31,Sexual activity by a substitute parent or custodian,E
§ 14-27.32,Sexual activity with a student (certain officials),G
§ 14-27.32,Sexual activity with a student (other officials),I
§ 14-27.33,Sexual battery,A1
§ 14-27.33A,Sexual contact or penetration under pretext of medical treatment.,C
§ 14-28,Malicious castration,C
§ 14-28.1,Female genital mutilation of a child,C
§ 14-29,Castration or other maiming without malice aforethought,E
§ 14-30,Malicious maiming,C
§ 14-30.1,Malicious throwing of corrosive acid or alkali,E
§ 14-31,Maliciously assaulting in a secret manner,E
§ 14-32,. Felonious assault with deadly weapon with intent to kill or inflicting serious injury (with intent to kill),C
§ 14-32,. Felonious assault with deadly weapon with intent to kill or inflicting serious injury (without intent to kill),E
§ 14-32.1,Assaults on individuals with a disability (simple assault only),A1
§ 14-32.1,Assaults on individuals with a disability (aggravated etc),F
§ 14-32.2,Patient abuse and neglect (intentional conduct proximately causes the death),C
§ 14-32.2,Patient abuse and neglect (culpably negligent conduct proximately causes the death ),E
§ 14-32.2,Patient abuse and neglect (willful or culpably negligent and proximately causes serious bodily injury),F
§ 14-32.2,Patient abuse and neglect (evinces a pattern of conduct and the conduct is willful or culpably negligent and proximately causes bodily injury),H
§ 14-32.3,"Domestic abuse, neglect, and exploitation of disabled or elder adults (abuse causes serious injury)",F
§ 14-32.3,"Domestic abuse, neglect, and exploitation of disabled or elder adults (abuse causes injury)",H
§ 14-32.3,"Domestic abuse, neglect, and exploitation of disabled or elder adults (neglect causes serious injury)",G
§ 14-32.3,"Domestic abuse, neglect, and exploitation of disabled or elder adults (neglect causes injury)",I
§ 14-32.4,Assault inflicting serious bodily injury; strangulation (serious bodily injury),F
§ 14-32.4,Assault inflicting serious bodily injury; strangulation (injury),H
§ 14-33,"Misdemeanor assaults, batteries, and affrays, simple",2
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against sports official)",1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against female)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against child)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (deadly weapon)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against school employee)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against transport worker)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against company police)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (against transportation network company personell)",A1
§ 14-33,"Misdemeanor assaults, batteries, and affrays (domestic in presence of child)",A1
§ 14-33.2,Habitual misdemeanor assault,H
§ 14-34,Assaulting by pointing gun,A1
§ 14-34.1,Discharging certain barreled weapons or a firearm into occupied property,E
§ 14-34.1,Discharging certain barreled weapons or a firearm into occupied property (conveyance in operation),D
§ 14-34.1,Discharging certain barreled weapons or a firearm into occupied property (resulting in serious bodily injury),C
§ 14-34.2.,"Assault with a firearm or other deadly weapon upon governmental officers or employees, company police officers, or campus police officers",F
§ 14-34.3.,"Manufacture, sale, purchase, or possession of teflon-coated types of bullets ",1
§ 14-34.4,"Adulterated or misbranded food, drugs, or cosmetics; intent to cause serious injury or death; intent to extort",C
§ 14-34.5,"Assault with a firearm on … (LEO, Probation/Parole Officer on duty)",D
§ 14-34.5,Assault with a firearm on … (Natl Guardsman),E
§ 14-34.5,Assault with a firearm on … (Detention Worker),D
§ 14-34.6,"Assault or affray on a firefighter, an emergency medical technician, medical responder, and hospital personnel",I
§ 14-34.6,"Assault or affray on a firefighter, an emergency medical technician, medical responder, and hospital personnel (serious bodily int or deadly weapon)",H
§ 14-34.6,"Assault or affray on a firefighter, an emergency medical technician, medical responder, and hospital personnel (with firearm)",F
§ 14-34.7,Certain assaults on  . . . LEO/PO/Parole Officer on duty (with serious bodily injury),F
§ 14-34.7,Certain assaults on  . . . Natl Guard (with serious bodily injury),F
§ 14-34.7,Certain assaults on  . . . Detention Employee (with serious bodily injury),F
§ 14-34.7,Certain assaults on  . . . LEO/PO/Parole Officer on duty (with physical injury),I
§ 14-34.7,Certain assaults on  . . . Natl Guard (with physical injury),I
§ 14-34.7,Certain assaults on  . . . Detention Employee (with physical injury),I
§ 14-34.8,Criminal use of laser device,Infraction
§ 14-34.9,Discharging a firearm from within an enclosure (ie: drive-by),E
§ 14-34.10,Discharge firearm within enclosure to incite fear.,F
§ 14-35, Hazing,2
§ 14-39, Second Degree Kidnapping, E
§ 14-39, First Degree Kidnapping, C
§ 14-40, Enticing minors out of the State for the purpose of employment,2
§ 14-41, Abduction of children, F
§ 14-43.1, Unlawful arrest by officers from other states,2
§ 14-43.3, Felonious restraint, F
§ 14-43.11,Human trafficking (of adult),C
§ 14-43.11,Human trafficking (of minor),B2
§ 14-43.12,Involuntary servitude (of adult),F
§ 14-43.12,Involuntary servitude (of minor),C
§ 14-43.12,Involuntary servitude (Failure to Report Involuntary Laborers for Contracting Parties),1
§ 14-43.13,Sexual servitude (adult victim),D
§ 14-43.13,Sexual servitude (minor victim),C
§ 14-43.14,"Unlawful sale, surrender, or purchase of a minor",F
§ 14-43.17,Victim confidentiality; penalty for unlawful disclosure,3
§ 14-44,Using drugs or instruments to destroy unborn child,H
§ 14-45,Using drugs or instruments to produce miscarriage or injure pregnant woman,I
§ 14-46,Concealing birth of child (ie: secret burial of deceased newborn),I
§ 14-46,Aid and Abet Concealment of birth of child (ie: secret burial of deceased newborn),1
§ 14-46.1,Prohibit sale of the remains of an unborn child resulting from an abortion or miscarriage,I
§ 14-47,Communicating libelous matter to newspapers,2
§ 14-49,Malicious use of explosive or incendiary (causing injury to person),D
§ 14-49,Malicious use of explosive or incendiary (causing injury to property),G
§ 14-49,Malicious use of explosive or incendiary (causing injury to house of worship),E
§ 14-49,Malicious use of explosive or incendiary (causing injury to State Capitol),E
§ 14-49.1,Malicious damage of occupied property by use of explosive or incendiary,D
§ 14-50.17,Soliciting/Encouraging participation (in gang activity),H
§ 14-50.18,Soliciting; encouraging participation; minor (encourage minor under 16—gang activity),F
§ 14-50.19,Intimidation to deter from gang withdrawal (not causing person physical injury),G
§ 14-50.19,Intimidation to deter from gang withdrawal (causing a person injury),F
§ 14-50.20,Punishment or retaliation for gang withdrawal (not causing person physical injury),G
§ 14-50.20,Punishment or retaliation for gang withdrawal (causing person physical injury),F
§ 14-51,First and second degree burglary (first—see also § 14-52),D
§ 14-51,First and second degree burglary (second—see also § 14-52),G
§ 14-53,Breaking out of dwelling house burglary,D
§ 14-54,Breaking or entering buildings (to commit a felony therein),H
§ 14-54,Breaking or entering buildings (to terrorize or injure an occupant),H
§ 14-54,Breaking or entering buildings (wrongfully break into building),1
§ 14-54.1,Breaking or entering a building that is a place of religious worship,G
§ 14-54.2,Breaking or entering a pharmacy (to steal CS),E
§ 14-54.2,Breaking or entering a pharmacy (receiving CS knowing stolen from pharmacy),F
§ 14-55,Preparation to commit burglary or other housebreakings,I
§ 14-56,"Breaking or entering into or breaking out of railroad cars, motor vehicles, trailers, aircraft, boats, or other watercraft",I
§ 14-56.1,Breaking into or forcibly opening coin-or currency-operated machines (first offense),1
§ 14-56.1,Breaking into or forcibly opening coin-or currency-operated machines (subsequent offense),1
§ 14-56.2,Damaging or destroying coin-or currency-operated machines,1
§ 14-56.3,Breaking into paper currency machines (first offense),1
§ 14-56.3,Breaking into paper currency machines (subsequent offense),1
§ 14-56.4,Preparation to commit breaking or entering into motor vehicles (first offense),1
§ 14-56.4,Preparation to commit breaking or entering into motor vehicles (subsequent offense),I
§ 14-57,Burglary with explosives,D
§ 14-58,Punishment for arson (occupied—first degree),D
§ 14-58,Punishment for arson (unoccupied—second degree),G
§ 14-58.2,"Burning of mobile home, manufactured-type house or recreational trailer (occupied—first degree)",D
§ 14-59,Burning of certain public buildings (state government buildings enumerated),F
§ 14-60,Burning of schoolhouses or buildings of educational institutions,F
§ 14-61,Burning of certain bridges and buildings,F
§ 14-62,Burning of certain buildings (trade buildings enumerated),F
§ 14-62.1,Burning of building or structure in process of construction,H
§ 14-62.2,Burning of churches and certain other religious buildings,E
§ 14-63,Burning of boats and barges,H
§ 14-64,Burning of ginhouses and tobacco houses,H
§ 14-65,Fraudulently setting fire to dwelling houses,H
§ 14-66,Burning of personal property,H
§ 14-67.1,Burning other buildings.,H
§ 14-67.2,"Burning caused during commission of another felony (damage in excess of 10,000)",D
§ 14-68,Failure of owner of property to comply with orders of public authorities,3
§ 14-69,Failure of officers to investigate incendiary fires,3
§ 14-69.1,Making a false report concerning destructive device (first offense),H
§ 14-69.1,Making a false report concerning destructive device (subsequent offense),G
§ 14-69.2,Perpetrating hoax by use of false bomb or other device (first offense),H
§ 14-69.2,Perpetrating hoax by use of false bomb or other device (subsequent offense),G
§ 14-69.3,Arson or other unlawful burning that results in serious bodily injury to … (safety/emergency personnel),E
§ 14-71,Receiving stolen goods; receiving or possessing goods represented as stolen,H
§ 14-71.1,Possessing stolen goods,H
§ 14-71.2,Receiving or transferring stolen vehicles,H
§ 14-72,"Larceny of property; receiving stolen goods or possessing stolen goods (over 1,000 dollars)",H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (from the person),H
§ 14-72,"Larceny of property; receiving stolen goods or possessing stolen goods (pursuant to a violation of G.S. 14-51, 14-53, 14-54, 14-54.1, or 14-57)",H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (of explosive or incindiary),H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (of firearm),H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (of record from North Carolina State Archives),H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (habitual),H
§ 14-72,Larceny of property; receiving stolen goods or possessing stolen goods (generally),1
§ 14-72.1,Concealment of merchandise in mercantile establishments (first offense),3
§ 14-72.1,Concealment of merchandise in mercantile establishments (second offense),2
§ 14-72.1,Concealment of merchandise in mercantile establishments (third/subsequent offense),1
§ 14-72.1,Concealment of merchandise in mercantile establishments (with special equipment for defeating anti-shoplifting devices),H
§ 14-72.2,Unauthorized use of a motor-propelled conveyance (aircraft),H
§ 14-72.2,Unauthorized use of a motor-propelled conveyance (not aircraft),1
§ 14-72.3,Removal of shopping cart from shopping premises,3
§ 14-72.4,Unauthorized taking or sale of labeled dairy milk cases or milk crates bearing,2
§ 14-72.5,Larceny of motor fuel,1
§ 14-72.6,"Felonious larceny, possession, or receiving of stolen goods from a permitted construction site",I
§ 14-72.7,Chop shop activity,G
§ 14-72.8,Felony larceny of motor vehicle parts,I
§ 14-72.11,Larceny from a merchant,H
§ 14-74,"Larceny by servants and other employees (over 100,000 dollars)",C
§ 14-74,"Larceny by servants and other employees (under 100,000 dollars)",H
§ 14-75,Larceny of chose in action,H
§ 14-75.1,Larceny of secret technical processes,H
§ 14-76,"Larceny, mutilation, or destruction of public records and papers",1
§ 14-76.1,Mutilation or defacement of records and papers in the North Carolina State Archives,1
§ 14-77,"Larceny, concealment or destruction of wills",1
§ 14-78,Larceny of ungathered crops,H
§ 14-79,Larceny of ginseng,H
§ 14-79.1,Larceny of pine needles or pine straw,H
§ 14-79.2,"Waste kitchen grease; unlawful acts and penalties (under 1,000 dollars in value)",1
§ 14-79.2,"Waste kitchen grease; unlawful acts and penalties (over 1,000 dollars in value)",H
§ 14-81,"Larceny of horses, mules, swine, cattle, or dogs (horses, mules, swine, or cattle)",H
§ 14-81,"Larceny of horses, mules, swine, cattle, or dogs (dog)",I
§ 14-85,Pursuing or injuring livestock with intent to steal,H
§ 14-86.2,"Larceny, destruction, defacement, or vandalism of portable toilets or pumper trucks",1
§ 14-86.6,"Organized retail theft (under 1,500, 1 other person)",H
§ 14-86.6,"Organized retail theft (over 1,500, or two/more people)",G
§ 14-87,Robbery with firearms or other dangerous weapons,D
§ 14-87.1,Common-law robbery,G
§ 14-88,Train robbery,D
§ 14-89.1,Safecracking,I
§ 14-90,"Embezzlement of property received by virtue of office or employment (under 100,000)",H
§ 14-90,"Embezzlement of property received by virtue of office or employment (over 100,000)",C
§ 14-92,"Embezzlement of funds by public officers and trustees (Over 100,000)",C
§ 14-92,"Embezzlement of funds by public officers and trustees (under 100,000)",C
§ 14-93,"Embezzlement by treasurers of charitable and religious organizations (over 100,000)",C
§ 14-93,"Embezzlement by treasurers of charitable and religious organizations (under 100,000)",H
§ 14-94,"Embezzlement by officers of railroad companies (over 100,000)",C
§ 14-94,"Embezzlement by officers of railroad companies (under 100,000)",H
§ 14-97,"Appropriation of partnership funds by partner to personal use (over 100,000)",C
§ 14-97,"Appropriation of partnership funds by partner to personal use (under 100,000)",H
§ 14-98,"Embezzlement by surviving partner (over 100,000)",C
§ 14-98,"Embezzlement by surviving partner (under 100,000)",H
§ 14-99,"Embezzlement of taxes by officers (over 100,000)",C
§ 14-99,"Embezzlement of taxes by officers (under 100,000)",F
§ 14-100,"Obtaining property by false pretenses (over 100,000)",C
§ 14-100,"Obtaining property by false pretenses (under 100,000)",H
§ 14-100.1,Possession or manufacture of certain fraudulent forms of identification,1
§ 14-101,Obtaining signatures by false pretenses,H
§ 14-102,Obtaining property by false representation of pedigree of animals,2
§ 14-103,Obtaining certificate of registration of animals by false representation,3
§ 14-104,Obtaining advances under promise to work and pay for same,2
§ 14-105.,Obtaining advances under written promise to pay therefor out of designated property,2
§ 14-106,"Obtaining property in return for worthless check, draft or order",3
§ 14-107,"Worthless checks; multiple presentment of checks (over 2,000)",I
§ 14-107,Worthless checks; multiple presentment of checks (overdrawn—first 3 times),3
§ 14-107,Worthless checks; multiple presentment of checks (closed account),1
§ 14-107,Worthless checks; multiple presentment of checks (nonexistant account),1
§ 14-108,"Obtaining property or services from slot machines, etc., by false coins or tokens",2
§ 14-109,"Manufacture, sale, or gift of devices for cheating slot machines, etc",2
§ 14-110,Defrauding innkeeper or campground owner,2
§ 14-111.1,"Obtaining ambulance services without intending to pay therefor – Buncombe, Haywood and Madison Counties",2
§ 14-111.2,Obtaining ambulance services without intending to pay therefor – certain named counties,2
§ 14-111.3,Making unneeded ambulance request in certain counties,3
§ 14-111.4,Misuse of 911 system,1
§ 14-112,Obtaining merchandise on approval.,2
§ 14-112.2(d)(1),Exploitation of an older adult or disabled adul,F
§ 14-112.2(d)(2),Exploitation of an older adult or disabled adul,G
§ 14-112.2(d)(3),Exploitation of an older adult or disabled adul,H
§ 14-112.2(e)(1),Exploitation of an older adult or disabled adul,G
§ 14-112.2(e)(2),Exploitation of an older adult or disabled adul,H
§ 14-112.2(e)(3),Exploitation of an older adult or disabled adul,I
§ 14-113,Obtaining money by false representation of physical disability,2
§ 14-113.1,Use of false or counterfeit credit device; unauthorized use of another's credit device; use after notice of revocation,2
§ 14-113.5,Telephone fraud devices,2
§ 14-113.5,Telephone fraud devices (5 or more devices),G
§ 14-113.9,Financial transaction card theft,I
§ 14-113.11,Forgery of financial transaction card,I
§ 14-113.13,Financial transaction card fraud (under 500 in 6 months),2
§ 14-113.13,Financial transaction card fraud (at or over 500 in 6 months),I
§ 14-113.14,Criminal possession of financial transaction card forgery devices,I
§ 14-113.15,Criminal receipt of goods and services fraudulently obtained (under 500 in 6 months),2
§ 14-113.15,Criminal receipt of goods and services fraudulently obtained (at or over 500 in 6 months),I
§ 14-113.15A,Criminal factoring of financial transaction card records,I
§ 14-113.20(a),Identity theft,G
§ 14-113.20(a),Identity theft (where victim suffers arrest/detention or where 3+ victims),F
§ 14-113.20A,Trafficking in stolen identities,E
§ 14-113.31,"Prohibition of falsely obtaining, selling, or soliciting telephone records",H
§ 14-114,Fraudulent disposal of personal property on which there is a security interest,2
§ 14-115,Secreting property to hinder enforcement of lien or security interest,2
§ 14-117,Fraudulent and deceptive advertising,2
§ 14-117.2,Gasoline price advertisements (self-serve price),3
§ 14-118,Blackmailing,1
§ 14-118.1,"Simulation of court process in connection with collection of claim, demand or account",I
§ 14-118.2,"Assisting, etc., in obtaining academic credit by fraudulent means",2
§ 14-118.3,Acquisition and use of information obtained from patients in hospitals for fraudulent purposes,2
§ 14-118.4,Extortion,F
§ 14-118.5,Theft of cable television service,3
§ 14-118.6,Filing false lien or encumbrance,I
§ 14-118.7,"Possession, transfer, or use of automated sales suppression device",H
§ 14-118.12,Residential mortgage fraud (single occurrence),H
§ 14-118.12,Residential mortgage fraud (pattern of occurrence),H
§ 14-119(a),"Forgery of notes, checks, and other securities; counterfeiting of instruments",I
§ 14-119(b),"Forgery of notes, checks, and other securities; counterfeiting of instruments",G
